id,ai_disclosure,ai_score
1,None,1.7483570765056164
2,Assisted,3.889388559063052
3,Generated,6.823844269050346
4,None,2.261514928204013
5,Assisted,3.8126773002213312
6,Generated,6.38293152152541
7,None,2.2896064077536957
8,Assisted,4.6139477833223275
9,Generated,6.265262807032524
10,None,1.7712800217929823
11,Assisted,3.62926584575003
12,Generated,6.267135123214872
13,None,1.620981135783017
14,Assisted,2.4693758042737617
15,Generated,5.637541083743484
16,None,1.2188562353795136
17,Assisted,3.189735103732461
18,Generated,6.657123666297637
19,None,1.0459879622393944
20,Assisted,2.8701570389317665
21,Generated,7.0
22,None,1.387111849756732
23,Assisted,4.054022563750339
24,Generated,5.787625906893272
25,None,1.2278086377374087
26,Assisted,4.088738071767893
27,Generated,5.924503211288848
28,None,1.687849009172836
29,Assisted,3.519489048064956
30,Generated,6.354153125103362
31,None,1.1991466938853015
32,Assisted,5.48182254760715
33,Generated,6.493251387631033
34,None,1.0
35,Assisted,4.658035929682551
36,Generated,5.889578175014488
37,None,1.6044317975023776
38,Assisted,2.4322639008961793
39,Generated,5.835906975550785
40,None,1.5984306179345618
